move_name,type,category,power,accuracy,pp,makes_contact,introduced,effect,z_effect
Curse,Ghost,Status,,,10,false,2,Curseis a unique move that works differently forGhost-type Pokémon than other Pokémon.,"When a Pokémon is holdingGhostium Zand uses its Z-Power,Curseturns intoZ-Curseand either fully restores the user's HP if it is Ghost type, or raises Attack one stage otherwise, in addition to its usual effect as above."
Steam Eruption,Water,Special,110,95,5,false,6,Steam Eruptiondeals damage and has a 30% chance of burning the target.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Steam Eruptionturns intoHydro Vortexand has base power185."
Wide Guard,Rock,Status,,,10,false,5,"Wide Guardprotects the user's team from all multi-target moves (such asSurforRock Slide), for the duration of the turn. It has priority +3 so will activate before most other moves.","When a Pokémon is holdingRockium Zand uses its Z-Power,Wide Guardturns intoZ-Wide Guardand raises Defense one stage, in addition to its usual effect as above."
Natural Gift,Normal,Physical,,100,15,false,4,"Natural Giftdeals damage with no additional effects. However, its type and base power vary depending on the user's held Berry. The grid below shows which Berries provide which power and type.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Natural Giftturns intoBreakneck Blitzand has base power160."
Freezy Frost,Ice,Special,90,100,15,false,7,Freezy Frostdeals damage and eliminates stat changes from all Pokémon on the field (similar toHaze).,
Gastro Acid,Poison,Status,,100,10,false,4,"Cancels out the effect of the opponent's Ability.Z-Move effectsWhen a Pokémon is holdingPoisonium Zand uses its Z-Power,Gastro Acidturns intoZ-Gastro Acidand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingPoisonium Zand uses its Z-Power,Gastro Acidturns intoZ-Gastro Acidand raises Speed one stage, in addition to its usual effect as above."
Ruination,Dark,Special,,90,10,false,9,Halves the opponent's HP.,
Outrage,Dragon,Physical,120,100,10,true,2,"The user ofOutrageattacks for 2-3 turns, during which it cannot switch out, and then becomes confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.","When a Pokémon is holdingDragonium Zand uses its Z-Power,Outrageturns intoDevastating Drakeand has base power190."
Fissure,Ground,Physical,,30,5,false,1,"If it hits,Fissureis guaranteed to make the opponent faint. Its accuracy increases if the user is a higher level than the target Pokémon, but fails if the target is higher level.","When a Pokémon is holdingGroundium Zand uses its Z-Power,Fissureturns intoTectonic Rageand has base power180."
Defense Curl,Normal,Status,,,40,false,1,Defense Curlraises the user's Defense by one stage. Stats can be raised to a maximum of +6 stages each.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Defense Curlturns intoZ-Defense Curland raises Accuracy one stage, in addition to its usual effect as above."
Pollen Puff,Bug,Special,90,100,15,false,7,"Deals damage to opponent or restores HP of teammate.Z-Move effectsWhen a Pokémon is holdingBuginium Zand uses its Z-Power,Pollen Puffturns intoSavage Spin-Outand has base power175.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Pollen Puffturns intoSavage Spin-Outand has base power175."
Destiny Bond,Ghost,Status,,,5,false,2,"If the user faints, the opponent also faints.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Destiny Bondturns intoZ-Destiny Bondand makes the Pokémon become the center of attention, in addition to its usual effect as above.","When a Pokémon is holdingGhostium Zand uses its Z-Power,Destiny Bondturns intoZ-Destiny Bondand makes the Pokémon become the center of attention, in addition to its usual effect as above."
Victory Dance,Fighting,Status,,,10,false,8,"Victory Danceraises the user's Attack, Defense and Speed by one stage each.",
Eternabeam,Dragon,Special,160,90,5,false,8,User can't move on the next turn.,
Ice Ball,Ice,Physical,30,90,20,true,3,"Ice Balldeals damage for 5 turns, doubling in power each turn. The move stops if it misses on any turn. If it doesn't miss,Ice Ballwill deal 30, 60, 120, 240 and 480 base power damage each turn respectively.","When a Pokémon is holdingIcium Zand uses its Z-Power,Ice Ballturns intoSubzero Slammerand has base power100."
Nasty Plot,Dark,Status,,,20,false,4,Nasty Plotraises the user's Special Attack by two stages.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Nasty Plotturns intoZ-Nasty Plotand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Smart Strike,Steel,Physical,70,,10,true,7,"The user stabs the target with a sharp horn. This attack never misses.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Smart Striketurns intoCorkscrew Crashand has base power140.","When a Pokémon is holdingSteelium Zand uses its Z-Power,Smart Striketurns intoCorkscrew Crashand has base power140."
Raging Bull,Normal,Physical,90,100,10,true,9,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.,
Foresight,Normal,Status,,,40,false,2,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.ChangesInGenerations 2-3,Foresighthas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Foresightturns intoZ-Foresightand raises critical-hit ratio one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Foresightturns intoZ-Foresightand raises critical-hit ratio one stage, in addition to its usual effect as above."
Cosmic Power,Psychic,Status,,,20,false,3,Cosmic Powerraises the user's Defense and Special Defense by one stage each.,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Cosmic Powerturns intoZ-Cosmic Powerand raises Special Defense one stage, in addition to its usual effect as above."
Spike Cannon,Normal,Physical,20,100,15,false,1,"Spike Cannonhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Spike Cannonturns intoBreakneck Blitzand has base power100."
Sandstorm,Rock,Status,,,10,false,2,Sandstormcreates a sandstorm on the battlefield that lasts for 5 turns and induces these additional effects:,"When a Pokémon is holdingRockium Zand uses its Z-Power,Sandstormturns intoZ-Sandstormand raises Speed one stage, in addition to its usual effect as above."
Grassy Terrain,Grass,Status,,,10,false,6,"Grassy Terraincreates a low-lying grassy field lasting 5 turns, that restores the HP of grounded Pokémon each turn, by1⁄16of their maximum HP. The power ofGrasstype moves also increases by 50% while in effect, and the movesEarthquake,Magnitude, andBulldozehalve in power.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Grassy Terrainturns intoZ-Grassy Terrainand raises Defense one stage, in addition to its usual effect as above."
Harden,Normal,Status,,,30,false,1,Hardenraises the user's Defense by one stage.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Hardenturns intoZ-Hardenand raises Defense one stage, in addition to its usual effect as above."
Salt Cure,Rock,Physical,40,100,15,false,9,Deals damage each turn; Steel and Water types are more affected.,
Defend Order,Bug,Status,,,10,false,4,Defend Orderraises the user's Defense and Special Defense by one stage each.,"When a Pokémon is holdingBuginium Zand uses its Z-Power,Defend Orderturns intoZ-Defend Orderand raises Defense one stage, in addition to its usual effect as above."
Horn Attack,Normal,Physical,65,100,25,true,1,Horn Attackdeals damage with no additional effect.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Horn Attackturns intoBreakneck Blitzand has base power120."
Magnetic Flux,Electric,Status,,,20,false,6,Magnetic Fluxraises the Defense and Special Defense of any Pokémon on the user's team that has the Plus or Minus ability.,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Magnetic Fluxturns intoZ-Magnetic Fluxand raises Special Defense one stage, in addition to its usual effect as above."
Flame Wheel,Fire,Physical,60,100,25,true,2,Flame Wheeldeals damage and has a 10% chance of burning the target.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Flame Wheelturns intoInferno Overdriveand has base power120."
Dark Void,Dark,Status,,50,10,false,4,Dark Voidputs the target(s) to sleep. It can only be used byDarkrai.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Dark Voidturns intoZ-Dark Voidand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Trick Room,Psychic,Status,,,5,false,4,"Slower Pokémon move first in the turn for 5 turns.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Trick Roomturns intoZ-Trick Roomand raises Accuracy one stage, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Trick Roomturns intoZ-Trick Roomand raises Accuracy one stage, in addition to its usual effect as above."
Bestow,Normal,Status,,,15,false,5,Bestowgives the user's held item to the target.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Bestowturns intoZ-Bestowand raises Speed two stages, in addition to its usual effect as above."
Mist,Ice,Status,,,30,false,1,"User's stats cannot be changed for a period of time.Z-Move effectsWhen a Pokémon is holdingIcium Zand uses its Z-Power,Mistturns intoZ-Mistand fully restores the user's HP, in addition to its usual effect as above.","When a Pokémon is holdingIcium Zand uses its Z-Power,Mistturns intoZ-Mistand fully restores the user's HP, in addition to its usual effect as above."
Sleep Powder,Grass,Status,,75,15,false,1,"Sleep Powderputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Sleep Powderturns intoZ-Sleep Powderand raises Speed one stage, in addition to its usual effect as above."
Thunderous Kick,Fighting,Physical,90,100,10,true,8,Lowers opponent's Defense.							(100% chance),
Grass Whistle,Grass,Status,,55,15,false,3,"Grass Whistleputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Grass Whistleturns intoZ-Grass Whistleand raises Speed one stage, in addition to its usual effect as above."
Clanging Scales,Dragon,Special,110,100,5,false,7,Clanging Scalesdeals damage but lowers the user's Defense by one stage after attacking.,"When a Pokémon is holdingDragonium Zand uses its Z-Power,Clanging Scalesturns intoDevastating Drakeand has base power185.When Kommo-o is holdingKommonium Zand uses its Z-Power,Clanging Scalesturns intoClangorous Soulblazeand has base power185."
Mountain Gale,Ice,Physical,100,85,10,false,8,Mountain Galedeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,
Fake Tears,Dark,Status,,100,20,false,3,Fake Tearslowers the target's Special Defense by two stages.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Fake Tearsturns intoZ-Fake Tearsand raises Special Attack one stage, in addition to its usual effect as above."
Explosion,Normal,Physical,250,100,5,false,1,"Explosiondeals high damage, but causes the user to faint.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Explosionturns intoBreakneck Blitzand has base power200."
Rapid Spin,Normal,Physical,50,100,40,true,2,"Rapid Spindeals damage, raises the user's Speed by one stage, and removes the effects of severaltrapmoves and entry hazards. It fails if the move misses or the target is immune. The effects from the following moves are removed:","When a Pokémon is holdingNormalium Zand uses its Z-Power,Rapid Spinturns intoBreakneck Blitzand has base power100."
Incinerate,Fire,Special,60,100,15,false,5,"Incineratedeals damage and if the target is holding a Berry, it is burnt and becomes no longer usable.","When a Pokémon is holdingFirium Zand uses its Z-Power,Incinerateturns intoInferno Overdriveand has base power120."
Tera Blast,Normal,Special,80,100,10,false,9,"Tera Blastdeals damage, and its type changes to the user's Tera Type, when the Pokémon is Terastallized.",
Bite,Dark,Physical,60,100,25,true,1,Bitedeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Biteturns intoBlack Hole Eclipseand has base power120."
Poltergeist,Ghost,Physical,110,90,5,false,8,The user attacks the target by controlling the target’s item. The move fails if the target doesn’t have an item.,
Dragon Claw,Dragon,Physical,80,100,15,true,3,Dragon Clawdeals damage with no additional effect.,"When a Pokémon is holdingDragonium Zand uses its Z-Power,Dragon Clawturns intoDevastating Drakeand has base power160."
Teleport,Psychic,Status,,,20,false,1,"In Pokémon Let's Go Pikachu/Eevee and Pokémon Sword/Shield,Teleportswitches the user out.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Teleportturns intoZ-Teleportand fully restores the user's HP, in addition to its usual effect as above.Outside of battleIf you are outside,Teleportwill instantly transport you back to the last Pokémon Center you visited. It does not work in caves or buildings. InGeneration 4it does not work in any town or city, only in routes."
Work Up,Normal,Status,,,30,false,5,Work Upraises the user's Attack and Special Attack by one stage each.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Work Upturns intoZ-Work Upand raises Attack one stage, in addition to its usual effect as above."
Wicked Blow,Dark,Physical,75,100,5,true,8,"Always results in a critical hit and ignores stat changes.ChangesInGeneration 8,Wicked Blowhas 80 base power.",
Covet,Normal,Physical,60,100,25,true,3,"Covetdeals damage and steals the target's held item, if the user is not already holding an item.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Covetturns intoBreakneck Blitzand has base power120."
Magnet Bomb,Steel,Physical,60,,20,false,4,"Magnet Bombdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.","When a Pokémon is holdingSteelium Zand uses its Z-Power,Magnet Bombturns intoCorkscrew Crashand has base power120."
Flame Charge,Fire,Physical,50,100,20,true,5,Flame Chargedeals damage and raises the user's Speed by one stage.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Flame Chargeturns intoInferno Overdriveand has base power100."
Icy Wind,Ice,Special,55,95,15,false,2,Icy Winddeals damage and lowers the target's Speed by one stage.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Icy Windturns intoSubzero Slammerand has base power100."
Psychic Terrain,Psychic,Status,,,10,false,7,"Psychic Terraincreates a low-lying psychic field lasting 5 turns, that prevents grounded Pokémon from being hit by high-priority moves (such asQuick AttackorSucker Punch). The power ofPsychictype moves also increases while in effect.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Psychic Terrainturns intoZ-Psychic Terrainand raises Special Attack one stage, in addition to its usual effect as above."
Torment,Dark,Status,,100,15,false,3,"Opponent cannot use the same move in a row.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Tormentturns intoZ-Tormentand raises Defense one stage, in addition to its usual effect as above.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Tormentturns intoZ-Tormentand raises Defense one stage, in addition to its usual effect as above."
Tackle,Normal,Physical,40,100,35,true,1,Tackleis one of the most common and basic moves a Pokémon learns. It deals damage with no additional effects.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Tackleturns intoBreakneck Blitzand has base power100."
Ice Spinner,Ice,Physical,80,100,15,true,9,Removes effects of Terrain.,
Dizzy Punch,Normal,Physical,70,100,10,true,1,Dizzy Punchdeals damage and has a 20% chance ofconfusingthe target.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Dizzy Punchturns intoBreakneck Blitzand has base power140."
FeatherDance,Flying,Status,,100,15,false,3,Feather Dancelowers the target's Attack by two stages.,"When a Pokémon is holdingFlyinium Zand uses its Z-Power,Feather Danceturns intoZ-Feather Danceand raises Defense one stage, in addition to its usual effect as above."
Wrap,Normal,Physical,15,90,20,true,1,"Wrapinflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Wrapturns intoBreakneck Blitzand has base power100."
Water Gun,Water,Special,40,100,25,false,1,Water Gundeals damage with no additional effect.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Water Gunturns intoHydro Vortexand has base power100."
Clamp,Water,Physical,35,85,15,true,1,"Clampinflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Clampturns intoHydro Vortexand has base power100."
Magma Storm,Fire,Special,100,75,5,false,4,"Magma Storminflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.","When a Pokémon is holdingFirium Zand uses its Z-Power,Magma Stormturns intoInferno Overdriveand has base power180."
Bitter Malice,Ghost,Special,75,100,10,false,8,Bitter Malicedeals damage and lowers the target's Attack by one stage.,
V-create,Fire,Physical,180,95,5,true,5,"V-createdeals damage but lowers the user's Defense, Special Defense and Speed by one stage each after attacking.","When a Pokémon is holdingFirium Zand uses its Z-Power,V-createturns intoInferno Overdriveand has base power220."
Drain Punch,Fighting,Physical,75,100,10,true,4,Drain Punchdeals damage and the user will recover 50% of the HP drained.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Drain Punchturns intoAll-Out Pummelingand has base power140."
Astral Barrage,Ghost,Special,120,100,5,false,8,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
Water Pledge,Water,Special,80,100,10,false,5,"Water Pledgedeals damage at base power80. If a teammate usesGrass PledgeorFire Pledgein the same turn, the moves combine into one attack of base power160and added effects appear.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Water Pledgeturns intoHydro Vortexand has base power160."
Power Swap,Psychic,Status,,,10,false,4,"User and opponent swap Attack and Special Attack.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Power Swapturns intoZ-Power Swapand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Power Swapturns intoZ-Power Swapand raises Speed one stage, in addition to its usual effect as above."
Endeavor,Normal,Physical,,100,5,true,3,Endeavorreduces the opponent's HP to equal the user's. (It fails if the user's HP is higher than the target's.),"When a Pokémon is holdingNormalium Zand uses its Z-Power,Endeavorturns intoBreakneck Blitzand has base power160."
Dynamax Cannon,Dragon,Special,100,100,5,false,8,Damage doubles if opponent is Dynamaxed.,
Hyper Beam,Normal,Special,150,90,5,false,1,"Hyper Beamdeals damage, but the user must recharge on the next turn (bringing its effective power down to 75 per turn).","When a Pokémon is holdingNormalium Zand uses its Z-Power,Hyper Beamturns intoBreakneck Blitzand has base power200."
Infestation,Bug,Special,20,100,20,true,6,"Infestationinflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Infestationturns intoSavage Spin-Outand has base power100."
King's Shield,Steel,Status,,,10,false,6,"King's Shieldprevents any Physical or Special attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at theKing's Shielduser, the opponent's Attack is lowered by two stages. It has priority +4 so will activate before most other moves.","When a Pokémon is holdingSteelium Zand uses its Z-Power,King's Shieldturns intoZ-King's Shieldand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Esper Wing,Psychic,Special,80,100,10,false,8,Esper Wingdeals damage and raises the user's Speed by one stage. It also has an increased critical hit ratio (1⁄8instead of1⁄24).,
Tachyon Cutter,Steel,Special,50,,10,false,9,Guaranteed to hit twice in a row.,
Fairy Lock,Fairy,Status,,,10,false,6,Fairy Lockprevents all Pokémon on the field from fleeing during the following turn.,"When a Pokémon is holdingFairium Zand uses its Z-Power,Fairy Lockturns intoZ-Fairy Lockand raises Defense one stage, in addition to its usual effect as above."
Shed Tail,Normal,Status,,,10,false,9,"Creates a substitute, then swaps places with a party Pokémon in waiting.",
Mud Shot,Ground,Special,55,95,15,false,3,Mud Shotdeals damage and lowers the target's Speed by one stage.,"When a Pokémon is holdingGroundium Zand uses its Z-Power,Mud Shotturns intoTectonic Rageand has base power100."
Surging Strikes,Water,Physical,25,100,5,true,8,Always results in a critical hit and ignores stat changes.,
Bitter Blade,Fire,Physical,90,100,10,true,9,Bitter Bladedeals damage and the user will recover 50% of the damage taken by the target.,
Softboiled,Normal,Status,,,5,false,1,Soft-Boiledrecovers up to 50% of the user's maximum HP.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Soft-Boiledturns intoZ-Soft-Boiledand eliminates any stat drops applied to the user, in addition to its usual effect as above.Outside of battleIn the field, usingSoft-Boiledwill take away 20% of the user's maximum HP and give it to another Pokémon. (It is unusable if the user's HP is below 20%.)"
Ingrain,Grass,Status,,,20,false,3,"The user ofIngrainplants it roots,which restores1⁄16of its maximum HP at the end of each turn, but prevents switching out.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Ingrainturns intoZ-Ingrainand raises Special Defense one stage, in addition to its usual effect as above."
Rage,Normal,Physical,20,100,20,true,1,"Ragedeals damage, and if the user is hit by a direct attack - any time afterRageis first used but before a different move is used - the user's Attack is raised by one stage. The game will state the Pokémon'srage is buildingrather than explicitly assert the stat increase. Stats can be raised to a maximum of +6 stages each.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Rageturns intoBreakneck Blitzand has base power100."
Wake-Up Slap,Fighting,Physical,70,100,10,true,4,"Wake-Up Slapdeals damage, and hits with double power (140) if the target is asleep. However, it also wakes up the target.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Wake-Up Slapturns intoAll-Out Pummelingand has base power140."
Psycho Cut,Psychic,Physical,70,100,20,false,4,Psycho Cutdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Psycho Cutturns intoShattered Psycheand has base power140."
Horn Drill,Normal,Physical,,30,5,true,1,"If it hits,Horn Drillis guaranteed to make the opponent faint. Its accuracy increases if the user is a higher level than the target Pokémon, but fails if the target is higher level.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Horn Drillturns intoBreakneck Blitzand has base power180."
Steel Wing,Steel,Physical,70,90,25,true,2,Steel Wingdeals damage and has a 10% chance of raising the user's Defense by one stage.,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Steel Wingturns intoCorkscrew Crashand has base power140."
Overdrive,Electric,Special,80,100,10,false,8,Hits all adjacent opponents.,
Spite,Ghost,Status,,100,10,false,2,"The opponent's last move loses 2-5 PP.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Spiteturns intoZ-Spiteand fully restores the user's HP, in addition to its usual effect as above.","When a Pokémon is holdingGhostium Zand uses its Z-Power,Spiteturns intoZ-Spiteand fully restores the user's HP, in addition to its usual effect as above."
Flame Burst,Fire,Special,70,100,15,false,5,Flame Burstdeals damage and will also causesplash damageto any Pokémon adjacent to the target (including the user ifFlame Burstis targeted at an ally).,"When a Pokémon is holdingFirium Zand uses its Z-Power,Flame Burstturns intoInferno Overdriveand has base power140."
SmellingSalt,Normal,Physical,70,100,10,true,3,"Smelling Saltsdeals damage, and hits with double power (140) if the target is paralyzed. However, it also cures the paralysis.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Smelling Saltsturns intoBreakneck Blitzand has base power140."
ThunderPunch,Electric,Physical,75,100,15,true,1,Thunder Punchdeals damage and has a 10% chance of paralyzing the target.,"When a Pokémon is holdingElectrium Zand uses its Z-Power,Thunder Punchturns intoGigavolt Havocand has base power140."
Splishy Splash,Water,Special,90,100,15,false,7,Splishy Splashdeals damage and has a 30% chance to paralyze the target.,
Dragon Breath,Dragon,Special,60,100,20,false,2,Dragon Breathdeals damage and has a 30% chance of paralyzing the target.,"When a Pokémon is holdingDragonium Zand uses its Z-Power,Dragon Breathturns intoDevastating Drakeand has base power120."
Feather Dance,Flying,Status,,100,15,false,3,Feather Dancelowers the target's Attack by two stages.,"When a Pokémon is holdingFlyinium Zand uses its Z-Power,Feather Danceturns intoZ-Feather Danceand raises Defense one stage, in addition to its usual effect as above."
Endure,Normal,Status,,,10,false,2,Endureallows the user to survive all attacks during the turn with at least 1 HP (even if it already has 1 HP remaining). It has priority +4 so will activate before most other moves.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Endureturns intoZ-Endureand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Gear Grind,Steel,Physical,50,85,15,true,5,Gear Grinddeals damage and will strike twice (with 50 base power each time).,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Gear Grindturns intoCorkscrew Crashand has base power180."
Razor Shell,Water,Physical,75,95,10,true,5,Razor Shelldeals damage and has a 50% chance of lowering the target's Defense by one stage.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Razor Shellturns intoHydro Vortexand has base power140."
Venoshock,Poison,Special,65,100,10,false,5,"Inflicts double damage if the target is poisoned.Z-Move effectsWhen a Pokémon is holdingPoisonium Zand uses its Z-Power,Venoshockturns intoAcid Downpourand has base power120.","When a Pokémon is holdingPoisonium Zand uses its Z-Power,Venoshockturns intoAcid Downpourand has base power120."
Seismic Toss,Fighting,Physical,,100,20,true,1,The damage ofSeismic Tossis equal to the user's level. So at level 100 the Pokémon will inflict100 HPdamage.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Seismic Tossturns intoAll-Out Pummelingand has base power100."
Stockpile,Normal,Status,,,20,false,3,"Stockpileraises the user's Defense and Special Defense by one stage each andcharges up powerfor use with companion movesSpit UporSwallow.Stockpilecan be used up to three times before its companion moves, which will attack or recover HP respectively.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Stockpileturns intoZ-Stockpileand fully restores the user's HP, in addition to its usual effect as above."
Torch Song,Fire,Special,80,100,10,false,9,Raises user's Special Attack.,
Trick,Psychic,Status,,100,10,false,3,"Trickswitches held items with the target. It does not require both Pokémon to be holding an item, in which case the item is simply given to the target or received from it.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Trickturns intoZ-Trickand raises Speed two stages, in addition to its usual effect as above."
Lock-On,Normal,Status,,,5,false,2,"User's next attack is guaranteed to hit.ChangesInGenerations 2-3,Lock-Onhas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Lock-Onturns intoZ-Lock-Onand raises Speed one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Lock-Onturns intoZ-Lock-Onand raises Speed one stage, in addition to its usual effect as above."
Reflect Type,Normal,Status,,,15,false,5,Reflect Typechanges the user's type to match the type(s) of the target.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Reflect Typeturns intoZ-Reflect Typeand raises Special Attack one stage, in addition to its usual effect as above."
Autotomize,Steel,Status,,,15,false,5,Autotomizeraises the user's Speed by two stages and reduces its weight by 100kg (to a minimum of 0.1kg). Stats can be raised to a maximum of +6 stages each.,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Autotomizeturns intoZ-Autotomizeand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Powder Snow,Ice,Special,40,100,25,false,2,Powder Snowdeals damage and has a 10% chance of freezing the target.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Powder Snowturns intoSubzero Slammerand has base power100."
Secret Power,Normal,Physical,70,100,20,false,3,"Secret Powerdeals damage and has a 30% chance of inducing a secondary effect on the opponent, depending on the environment. The move's animation also changes, reusing that of a specific attack for each terrain.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Secret Powerturns intoBreakneck Blitzand has base power140.Outside of battleIn Ruby, Sapphire, Emerald, Omega Ruby and Alpha Sapphire,Secret Powerallows the user to create their own secret base when used on weeping willow-like trees or indented walls."
Meteor Beam,Rock,Special,120,90,10,false,8,"In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",
Odor Sleuth,Normal,Status,,,40,false,3,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.ChangesInGeneration 3,Odor Sleuthhas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Odor Sleuthturns intoZ-Odor Sleuthand raises Attack one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Odor Sleuthturns intoZ-Odor Sleuthand raises Attack one stage, in addition to its usual effect as above."
Quick Guard,Fighting,Status,,,15,false,5,"Quick Guardprotects the user's team from all increased priority moves (such asExtreme SpeedorBullet Punch), for the duration of the turn. It has priority +3 so will activate before most other moves.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Quick Guardturns intoZ-Quick Guardand raises Defense one stage, in addition to its usual effect as above."
SolarBeam,Grass,Special,120,100,10,false,1,"The user ofSolar Beamwillabsorb lighton the first turn. On the second turn,Solar Beamdeals damage.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Solar Beamturns intoBloom Doomand has base power190."
